Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
SIVB,S&P 500,15.45B,1.51B,5.67B,209.06,307.49,-,-,8553,Yes,Yes,2.30,10.57,10.88,1.32,2.72,1.28,0.87,5.83,-,-,0.43,0.43,-51.98%,25.35,24.63,4.61,-18.90%,27.83%,8.00%,20.70%,31.10%,80.10%,-25.60%,Jan 19 AMC,-49.45%,0.10%,-23.40%,96.50%,1.22%,0.70%,12.40%,19.80%,-,71.70%,26.60%,0.00%,-57.67%,59.11M,58.84M,5.39% / 3.59,3.17M,301.17,198.10 - 597.16,-76.43%,-28.95%,14.65,24.13,884.07K,"11,250,441",-49.22%,-56.47%,-29.72%,-64.68%,-72.78%,-38.84%,1.57,19.70,3.36% 3.28%,267.83,140.75,-47.45%
SJM,S&P 500,15.81B,710.20M,8.33B,78.26,0.99,4.08,2.71%,6700,Yes,Yes,3.20,22.61,15.51,4.64,1.90,1.92,151.75,-,0.50,1.20,0.52,0.52,0.95%,6.66,9.70,2.42,-25.10%,12.29%,4.88%,2.70%,1.60%,7.70%,203.80%,Feb 28 BMO,-1.33%,1.30%,-0.18%,82.70%,-1.03%,4.40%,8.70%,6.40%,32.20%,13.10%,8.50%,60.40%,5.52%,106.50M,101.92M,3.62% / 4.04,3.69M,151.17,119.82 - 163.07,-7.98%,25.23%,51.10,0.47,912.00K,"226,458",0.98%,0.03%,-2.28%,6.48%,13.77%,-5.31%,0.21,2.59,1.51% 1.66%,150.49,150.05,-0.29%
SLB,S&P 500,75.10B,3.44B,28.09B,12.44,2.06,1.00,1.87%,99000,Yes,Yes,1.90,22.37,14.37,0.71,2.67,4.30,25.95,59.89,0.90,1.20,0.69,0.60,-3.89%,2.39,3.73,0.60,81.70%,23.50%,31.50%,34.00%,-1.60%,26.60%,77.30%,Jan 20 BMO,-4.32%,0.19%,-13.02%,85.80%,3.94%,8.00%,20.70%,12.40%,18.40%,15.90%,12.20%,26.80%,15.14%,1.42B,1.42B,1.31% / 2.01,18.49M,64.12,30.65 - 62.78,-16.26%,71.52%,41.97,0.64,9.21M,"3,112,861",-4.94%,-2.45%,3.32%,41.85%,16.61%,-1.66%,1.80,1.80,2.68% 2.90%,53.54,52.57,-1.81%
SNA,S&P 500,13.06B,911.70M,4.84B,84.71,14.32,6.48,2.62%,12900,Yes,Yes,3.10,14.69,13.91,5.25,2.70,2.92,17.25,47.00,2.40,3.50,0.27,0.26,-0.27%,16.82,17.76,4.12,12.80%,4.58%,2.80%,11.80%,3.90%,4.10%,7.80%,Feb 02 BMO,1.68%,1.50%,-14.74%,89.50%,-0.03%,13.20%,20.90%,16.50%,52.30%,24.90%,18.80%,34.30%,10.52%,52.90M,52.24M,4.93% / 8.78,2.58M,243.38,190.08 - 259.78,-4.31%,30.77%,51.69,0.38,293.49K,"58,460",-0.14%,-2.27%,4.84%,11.23%,20.46%,8.79%,1.09,3.79,1.32% 1.49%,247.08,248.57,0.61%
SNPS,"NDX, S&P 500",55.57B,942.40M,5.17B,36.99,8.65,-,-,19000,Yes,Yes,1.60,61.00,30.36,3.59,10.74,9.98,42.68,35.63,1.00,1.10,0.00,0.00,1.77%,6.05,12.15,2.45,30.70%,14.90%,16.97%,48.10%,13.30%,7.20%,-12.20%,Feb 15 AMC,6.10%,0.20%,-18.68%,92.70%,0.56%,10.00%,16.90%,18.50%,78.90%,20.70%,18.20%,0.00%,12.26%,152.40M,151.48M,1.03% / 1.95,1.56M,427.64,255.02 - 391.17,-5.45%,45.03%,57.80,0.59,797.63K,"246,588",1.78%,0.84%,12.75%,11.39%,24.80%,15.83%,1.18,8.75,2.19% 2.18%,369.02,369.85,0.22%
SO,S&P 500,69.24B,3.52B,29.28B,27.90,1.79,2.72,4.20%,27700,Yes,Yes,2.70,19.79,16.07,3.05,2.37,2.32,36.12,-,0.50,0.70,1.89,1.67,1.01%,3.27,4.03,0.80,45.50%,11.42%,6.48%,41.60%,4.90%,22.20%,60.50%,Feb 16 BMO,-2.76%,0.10%,-5.92%,63.50%,2.63%,2.70%,11.90%,5.20%,82.90%,18.30%,12.00%,82.00%,-6.55%,1.09B,1.09B,0.85% / 2.15,9.25M,71.38,58.85 - 80.57,-18.21%,11.98%,50.97,0.48,4.31M,"1,098,441",3.50%,-2.72%,-3.77%,-17.37%,-2.83%,-7.72%,0.49,1.38,2.02% 1.90%,64.73,65.90,1.81%
SPG,S&P 500,39.55B,2.14B,5.29B,9.47,1.92,7.20,5.89%,2500,Yes,Yes,2.30,18.74,19.80,2.18,7.47,12.90,63.62,46.39,-,-,8.06,8.06,-2.77%,6.52,6.17,1.40,-4.70%,0.98%,8.60%,0.90%,-0.90%,5.60%,34.60%,Feb 06 AMC,-2.71%,0.10%,2.39%,83.00%,-1.82%,6.50%,69.40%,9.20%,81.10%,48.80%,40.40%,105.90%,8.76%,326.94M,325.77M,1.78% / 3.85,5.78M,132.07,86.02 - 138.65,-13.64%,39.21%,41.09,0.41,1.50M,"322,546",-2.53%,-4.89%,1.26%,15.74%,-8.86%,1.93%,1.56,2.55,2.05% 1.93%,122.18,119.74,-1.99%
SPGI,S&P 500,107.17B,3.25B,11.18B,112.27,4.11,3.60,1.06%,39950,Yes,Yes,1.70,32.29,23.56,2.46,9.59,3.02,82.44,71.93,0.90,0.90,0.30,0.29,-2.75%,10.50,14.38,2.90,-18.50%,15.17%,13.10%,9.90%,13.00%,40.70%,-52.50%,Feb 09 BMO,-3.83%,0.10%,-6.46%,91.70%,-3.70%,5.10%,8.50%,7.90%,66.30%,44.10%,29.10%,31.50%,-1.11%,324.10M,318.68M,1.41% / 3.18,4.48M,406.75,279.32 - 423.55,-19.21%,22.50%,42.93,0.58,1.41M,"428,160",0.67%,-7.80%,-2.71%,-5.88%,-11.84%,2.16%,1.12,8.28,2.59% 2.18%,338.88,342.17,0.97%
SRE,S&P 500,46.07B,2.09B,14.44B,83.33,1.19,4.76,3.20%,15785,Yes,Yes,2.20,22.46,15.45,5.42,3.19,1.78,124.51,-,0.60,0.60,1.10,0.94,-2.32%,6.62,9.62,2.73,65.20%,6.98%,4.14%,13.00%,8.50%,-10.10%,-26.70%,Feb 28 BMO,-3.94%,0.05%,-18.58%,89.10%,-0.49%,2.70%,8.10%,3.20%,-,15.90%,14.50%,68.30%,-4.57%,314.73M,310.86M,0.94% / 2.45,2.93M,171.92,136.54 - 176.47,-14.89%,10.00%,41.16,0.65,1.20M,"413,089",1.01%,-4.40%,-9.17%,-13.43%,-2.09%,-2.81%,0.74,3.23,1.97% 2.03%,148.62,150.19,1.06%
STE,S&P 500,17.75B,-27.90M,4.78B,60.56,2.63,1.88,1.04%,16422,Yes,Yes,1.80,-,20.53,-,3.71,2.98,68.43,104.79,1.60,2.50,0.51,0.50,-3.17%,-0.29,8.78,2.15,-46.40%,9.13%,10.00%,14.20%,11.90%,0.60%,-13.20%,Feb 08 AMC,-5.95%,0.10%,-2.72%,95.90%,0.33%,-0.30%,-0.50%,3.70%,44.80%,2.80%,-0.60%,66.90%,-5.50%,99.72M,98.41M,2.91% / 5.21,2.86M,220.00,159.21 - 255.93,-27.97%,15.78%,40.82,0.81,549.65K,"233,383",-2.14%,-15.05%,0.42%,-9.61%,-18.11%,-0.19%,0.86,4.55,1.90% 2.25%,180.29,184.34,2.25%
STT,S&P 500,29.28B,2.66B,4.09B,64.64,400.90,2.52,2.91%,42226,Yes,Yes,2.40,12.04,9.01,1.29,7.17,1.34,0.22,2.83,-,-,0.65,0.65,-7.15%,7.19,9.61,1.74,0.00%,10.99%,9.30%,4.20%,7.30%,225.70%,7.40%,Jan 20 BMO,-3.23%,0.10%,-9.44%,91.60%,-0.58%,0.90%,11.20%,5.20%,-,61.70%,65.10%,32.10%,13.06%,359.14M,343.29M,1.37% / 1.69,4.72M,95.79,58.62 - 94.74,-11.46%,43.10%,35.14,0.82,2.79M,"1,208,708",-5.51%,-9.50%,12.80%,20.28%,5.70%,8.13%,1.61,2.19,2.48% 2.26%,86.59,83.88,-3.13%
STX,S&P 500,13.20B,618.00M,9.35B,-2.28,3.71,2.80,4.40%,40000,Yes,Yes,2.50,22.70,12.80,-,1.41,-,17.14,84.06,0.70,1.10,-,-,-4.02%,2.80,4.97,0.26,37.30%,221.75%,-7.77%,23.30%,1.60%,-39.40%,-107.20%,Jan 25 AMC,2.52%,0.40%,-4.25%,87.80%,-0.78%,7.20%,-849.50%,33.40%,24.50%,10.10%,6.60%,98.00%,-1.08%,206.00M,205.30M,5.19% / 4.15,10.66M,67.47,47.47 - 94.72,-31.77%,36.15%,47.48,0.62,2.57M,"836,514",-0.35%,-9.35%,23.81%,-1.51%,-28.64%,22.85%,1.12,2.02,2.96% 2.85%,63.63,64.63,1.57%
STZ,S&P 500,40.19B,101.40M,9.56B,44.18,1.01,3.20,1.46%,10000,Yes,Yes,2.00,648.82,18.80,75.24,4.20,4.96,217.23,47.48,0.60,1.30,1.45,1.35,-1.90%,0.34,11.67,2.77,-102.30%,10.84%,8.62%,-15.20%,3.80%,5.00%,10.50%,Jan 05 BMO,-2.41%,7.80%,-55.59%,73.70%,1.79%,0.40%,1.00%,9.00%,51.90%,31.70%,1.10%,610.30%,-7.37%,189.88M,149.71M,2.59% / 2.74,3.87M,254.56,208.12 - 261.52,-15.87%,5.72%,41.28,0.28,1.41M,"210,004",-0.78%,-4.46%,-11.15%,-11.42%,2.51%,-5.06%,1.03,3.58,1.24% 1.52%,219.30,220.02,0.33%
SWK,S&P 500,12.60B,165.50M,16.95B,65.83,2.64,3.20,3.81%,54200,Yes,Yes,2.90,86.38,16.58,3.59,0.74,1.28,31.85,-,0.30,1.20,0.77,0.55,-2.82%,0.97,5.07,-0.74,-88.70%,421.50%,24.06%,-33.60%,5.50%,0.10%,-142.60%,Feb 02 BMO,-1.38%,0.20%,7.99%,91.80%,1.89%,3.90%,11.80%,2.60%,26.00%,1.90%,6.20%,43.90%,-7.18%,147.53M,147.16M,5.71% / 4.54,8.40M,95.75,70.24 - 155.91,-46.14%,19.55%,45.46,0.47,1.85M,"458,515",-1.77%,-7.12%,8.03%,-4.01%,-43.68%,11.78%,1.32,2.79,2.67% 3.22%,84.05,83.97,-0.10%
SWKS,S&P 500,17.92B,1.18B,5.30B,34.73,6.35,2.48,2.16%,11150,Yes,Yes,2.50,15.66,10.62,1.04,3.38,3.30,18.05,23.00,1.70,2.80,0.39,0.30,-0.17%,7.33,10.80,2.03,-13.00%,15.23%,15.00%,7.60%,8.50%,-12.00%,-19.60%,Feb 06 AMC,7.28%,0.20%,-2.87%,78.90%,1.49%,13.50%,22.00%,17.30%,47.60%,27.30%,22.30%,32.10%,15.70%,159.80M,158.33M,2.07% / 1.57,3.28M,125.22,76.16 - 141.26,-18.44%,51.27%,56.47,0.48,2.09M,"534,363",3.06%,-6.31%,24.90%,16.02%,-12.77%,26.42%,1.28,3.00,2.50% 2.71%,114.72,115.21,0.43%
SYF,S&P 500,14.80B,2.97B,17.15B,27.26,23.98,0.92,2.67%,18500,Yes,Yes,2.60,5.64,6.41,-,0.86,1.26,1.44,2.36,-,-,1.17,1.17,-5.72%,6.11,5.38,1.70,-16.20%,4.33%,-3.62%,18.60%,0.90%,16.20%,-14.60%,Jan 23 BMO,-3.35%,0.40%,-15.38%,98.73%,-4.69%,3.00%,23.90%,42.90%,-,71.40%,17.30%,14.80%,0.71%,445.30M,435.79M,3.43% / 2.78,14.95M,40.00,27.22 - 41.88,-19.33%,24.12%,38.37,0.69,5.38M,"1,948,300",-5.48%,-8.58%,-2.48%,5.73%,-3.65%,2.80%,1.61,1.00,2.47% 2.23%,34.48,33.78,-2.03%
SYK,S&P 500,97.12B,2.36B,18.45B,43.90,5.27,3.00,1.13%,51000,Yes,Yes,2.20,43.04,23.86,4.66,5.26,6.05,50.37,98.59,1.00,1.60,0.79,0.71,3.06%,6.17,11.13,2.00,18.30%,10.94%,9.24%,4.80%,8.20%,10.70%,-14.90%,Jan 31 AMC,4.82%,0.10%,-63.62%,79.80%,1.59%,6.50%,14.80%,8.50%,63.10%,15.40%,12.80%,45.50%,19.51%,378.50M,371.63M,1.45% / 4.13,5.41M,279.68,188.84 - 284.00,-4.10%,44.22%,60.43,1.00,1.31M,"688,767",3.91%,-0.04%,15.63%,28.95%,10.84%,11.40%,0.94,5.44,2.06% 1.76%,265.59,272.35,2.55%
SYY,S&P 500,37.64B,1.42B,73.58B,2.83,0.99,1.96,2.62%,71000,Yes,Yes,2.50,26.98,16.21,1.69,0.51,26.45,75.23,208.28,0.70,1.20,7.69,7.20,-1.40%,2.77,4.62,0.92,159.00%,14.45%,15.94%,4.90%,4.40%,13.90%,-14.90%,Jan 31 BMO,-2.54%,0.20%,-8.17%,84.30%,-1.09%,6.40%,108.10%,16.20%,18.10%,3.20%,1.90%,68.80%,-6.86%,507.61M,506.18M,2.40% / 5.12,12.13M,87.59,70.61 - 91.53,-17.56%,6.86%,43.45,0.53,2.37M,"655,957",-0.13%,-2.34%,-10.45%,-8.98%,0.19%,-1.30%,1.10,1.34,1.25% 1.58%,74.84,75.46,0.82%
T,S&P 500,131.59B,-8546.00M,120.74B,13.60,0.52,1.11,5.96%,160700,Yes,Yes,2.60,-,7.41,-,1.09,1.37,35.56,51.85,0.50,0.60,1.40,1.32,-2.42%,-1.26,2.51,0.58,-139.30%,2.70%,0.76%,-22.90%,-5.50%,0.80%,-600.00%,Jan 25 BMO,-3.31%,0.15%,0.00%,54.40%,-0.91%,-1.90%,-6.90%,-3.60%,57.90%,-3.80%,-7.20%,-,-0.59%,7.17B,7.12B,1.23% / 2.51,87.48M,21.13,14.46 - 21.53,-13.68%,28.53%,37.32,0.39,34.81M,"7,214,036",-0.40%,-3.45%,-3.05%,10.17%,6.73%,0.95%,0.62,0.33,1.53% 1.61%,18.61,18.58,-0.13%
TAP,S&P 500,11.01B,-175.30M,10.70B,58.59,2.96,1.64,3.02%,16600,Yes,Yes,3.00,-,12.62,-,1.03,0.93,18.34,21.52,0.50,0.80,0.52,0.49,1.21%,-0.82,4.31,0.27,-117.50%,6.01%,1.68%,-16.80%,-0.60%,0.40%,-842.60%,Feb 21 BMO,2.77%,0.10%,0.00%,87.20%,-2.55%,-0.70%,-1.30%,0.20%,34.20%,1.50%,-1.60%,-,1.26%,216.60M,166.08M,5.43% / 5.82,9.03M,54.72,46.69 - 60.12,-11.25%,14.29%,53.44,1.06,1.55M,"864,826",0.14%,2.02%,0.18%,2.15%,2.70%,3.56%,0.86,1.22,2.09% 1.93%,54.35,53.35,-1.83%
TDG,S&P 500,41.30B,853.00M,5.63B,-58.42,60.87,-,-,14400,Yes,Yes,2.00,52.03,28.66,2.55,7.33,-,12.56,-,3.20,4.20,-,-,1.20%,14.69,26.68,5.42,28.80%,19.33%,20.41%,9.60%,9.20%,17.00%,69.80%,Feb 07 BMO,7.76%,0.30%,-78.23%,98.00%,1.70%,4.60%,-26.30%,12.10%,57.60%,41.70%,15.10%,0.00%,24.25%,57.10M,52.69M,2.32% / 3.70,1.22M,796.94,486.25 - 772.01,-1.54%,56.32%,60.78,0.36,329.62K,"62,034",0.14%,2.37%,25.13%,23.62%,30.98%,20.72%,1.38,13.41,1.45% 1.91%,764.49,760.10,-0.57%
TDY,S&P 500,19.91B,788.60M,5.46B,174.56,13.74,-,-,14700,Yes,Yes,2.10,25.94,20.60,4.10,3.65,2.46,31.20,50.51,1.30,1.80,0.48,0.44,-1.31%,16.53,20.82,4.43,64.50%,8.66%,6.33%,20.90%,16.00%,3.10%,40.50%,Jan 25 BMO,1.72%,0.30%,-26.70%,93.90%,-1.58%,5.60%,10.00%,7.10%,42.70%,18.00%,14.40%,0.00%,8.85%,46.80M,46.26M,1.51% / 3.95,0.70M,497.00,325.00 - 493.97,-13.17%,31.97%,48.71,0.23,177.07K,"21,642",-0.86%,-1.94%,3.79%,13.77%,-0.38%,7.25%,1.08,7.76,1.88% 1.77%,428.83,428.91,0.02%
TECH,S&P 500,11.63B,261.70M,1.12B,11.64,1.26,0.32,0.43%,3000,Yes,Yes,1.60,46.36,31.50,4.31,10.38,6.40,59.08,57.62,3.20,4.40,0.11,0.11,0.55%,1.61,2.37,0.53,91.20%,17.83%,10.76%,26.70%,14.50%,0.90%,-36.40%,Feb 02 BMO,-4.06%,0.80%,-0.66%,97.90%,1.99%,11.20%,15.00%,13.20%,68.30%,30.70%,23.40%,19.20%,-8.20%,157.01M,155.74M,1.41% / 2.19,2.20M,101.12,68.00 - 113.81,-33.33%,11.58%,47.90,0.49,1.00M,"260,193",-2.22%,-3.27%,-5.94%,-9.17%,-22.91%,-8.45%,1.25,2.35,3.46% 2.93%,74.54,75.88,1.79%
TEL,S&P 500,40.60B,2.26B,16.30B,35.85,2.53,2.24,1.73%,92000,Yes,Yes,2.40,18.52,16.96,1.68,2.49,3.62,51.19,39.11,1.00,1.70,0.37,0.30,-0.38%,7.00,7.64,1.57,10.30%,16.37%,11.00%,11.70%,6.00%,0.60%,-27.40%,Jan 25 BMO,2.80%,0.20%,-11.04%,95.50%,-4.14%,10.60%,21.00%,16.30%,31.90%,15.90%,13.90%,31.00%,5.06%,317.00M,315.82M,1.23% / 2.21,3.90M,136.67,104.76 - 138.24,-6.59%,23.26%,51.96,0.42,1.77M,"392,619",-0.01%,-3.64%,6.87%,2.10%,0.28%,12.48%,1.32,2.40,1.59% 1.77%,129.61,129.12,-0.37%
TER,S&P 500,15.96B,715.50M,3.15B,15.74,5.79,0.44,0.43%,6500,Yes,Yes,2.20,24.47,19.97,2.29,5.06,6.56,17.84,46.26,2.60,3.00,0.02,0.00,-0.16%,4.22,5.17,0.43,-23.70%,65.79%,10.67%,14.00%,8.10%,-17.30%,-17.30%,Jan 25 AMC,3.95%,0.30%,-17.29%,-,-1.36%,20.60%,30.20%,28.30%,59.20%,26.40%,22.70%,9.70%,11.67%,155.76M,154.85M,2.60% / 2.52,4.03M,112.17,67.81 - 127.29,-18.61%,52.77%,53.08,0.36,1.59M,"300,923",1.51%,-5.99%,14.61%,21.85%,-3.68%,18.60%,1.56,2.91,2.84% 2.63%,103.25,103.60,0.33%
TFC,S&P 500,57.19B,5.93B,16.64B,40.58,23.11,2.08,4.75%,52848,Yes,Yes,2.70,9.88,8.49,-,3.44,1.08,1.89,-,-,-,0.80,0.80,-11.36%,4.43,5.16,1.17,-1.00%,5.09%,-0.29%,10.50%,17.70%,53.60%,6.10%,Jan 19 BMO,-11.01%,0.10%,-2.63%,75.30%,-0.15%,1.10%,10.70%,12.50%,-,81.40%,35.60%,44.80%,-10.24%,1.33B,1.32B,0.98% / 1.90,12.92M,52.45,40.01 - 61.10,-31.57%,4.51%,24.51,1.14,6.82M,"4,114,594",-8.11%,-16.43%,-0.19%,-11.23%,-26.46%,-2.84%,1.10,1.15,2.54% 2.06%,43.77,41.81,-4.48%
TFX,S&P 500,10.53B,362.90M,2.79B,85.74,6.31,1.36,0.60%,15500,Yes,Yes,2.40,29.67,15.54,2.85,3.77,2.65,36.05,52.87,1.40,2.40,0.43,0.40,-3.93%,7.67,14.64,2.98,-25.00%,10.14%,10.40%,6.30%,5.40%,-0.50%,-38.50%,Feb 23 BMO,-5.49%,0.22%,-13.84%,97.20%,-10.16%,5.30%,9.30%,7.30%,54.90%,17.90%,13.00%,17.60%,-3.16%,46.91M,46.81M,2.26% / 3.10,1.06M,264.38,182.65 - 356.72,-35.22%,26.51%,40.09,0.64,341.89K,"115,803",-1.95%,-10.26%,-2.08%,-0.88%,-31.43%,-7.44%,0.98,5.67,2.20% 2.27%,227.58,231.07,1.53%
TGT,S&P 500,75.24B,2.78B,109.12B,23.94,-,4.32,2.64%,450000,Yes,Yes,2.20,27.32,15.33,-,0.69,6.83,-,-,0.10,0.90,1.49,1.29,-3.13%,5.98,10.66,1.78,63.10%,24.56%,-7.51%,25.20%,8.60%,3.40%,-49.40%,Feb 28 BMO,-0.68%,0.20%,-6.34%,81.90%,1.89%,7.90%,37.40%,27.60%,24.60%,5.30%,3.90%,40.50%,2.41%,460.30M,459.38M,2.73% / 3.69,12.53M,180.47,137.16 - 254.87,-36.01%,18.90%,43.47,0.38,3.39M,"687,784",-1.72%,-6.68%,5.18%,-4.51%,-21.90%,9.42%,1.03,4.13,1.82% 2.33%,163.51,163.08,-0.26%
TJX,S&P 500,87.81B,3.50B,49.94B,4.88,2.96,1.18,1.53%,340000,Yes,Yes,1.90,25.95,19.74,2.23,1.76,15.82,26.10,-,0.40,1.20,0.59,0.50,-3.65%,2.97,3.91,0.71,13.20%,10.89%,11.62%,9.30%,7.90%,-2.90%,7.70%,Feb 22 BMO,-5.24%,0.10%,-9.53%,94.80%,0.63%,12.00%,59.30%,36.30%,27.60%,9.30%,6.70%,28.70%,8.59%,1.16B,1.15B,0.52% / 1.11,5.95M,86.32,53.69 - 83.13,-8.94%,40.99%,33.61,1.09,5.34M,"3,054,983",-1.32%,-5.22%,-4.62%,14.97%,26.16%,-4.91%,0.91,1.39,1.79% 1.59%,77.18,75.69,-1.92%
TMO,S&P 500,209.73B,6.95B,44.91B,112.19,-,1.40,0.25%,130000,Yes,Yes,2.00,31.46,20.75,5.39,4.67,4.94,-,32.49,1.20,1.50,0.78,0.66,1.16%,17.64,26.74,5.05,-9.30%,12.68%,5.83%,23.60%,16.50%,7.00%,-3.70%,Feb 01 BMO,-0.33%,0.10%,-28.79%,91.00%,0.05%,7.50%,16.30%,9.60%,42.20%,18.30%,15.50%,6.50%,2.57%,392.00M,384.43M,0.69% / 1.83,2.65M,649.59,475.77 - 618.35,-8.91%,18.38%,52.89,0.55,1.44M,"417,764",2.64%,-3.42%,2.31%,2.09%,7.49%,2.28%,0.79,12.43,2.61% 2.03%,554.75,563.23,1.53%
TMUS,"NDX, S&P 500",173.67B,2.59B,79.57B,56.14,3.72,-,-,71000,Yes,Yes,1.90,61.58,14.92,0.96,2.18,2.55,38.53,61.78,0.70,0.80,1.13,1.04,-0.90%,2.33,9.60,1.50,-3.80%,39.66%,64.35%,-2.40%,14.40%,-2.50%,328.50%,Feb 01 BMO,-1.19%,0.30%,-5.03%,42.60%,-1.01%,1.20%,3.70%,4.00%,59.80%,8.20%,3.30%,0.00%,1.29%,1.24B,589.74M,3.08% / 3.49,18.19M,178.13,120.44 - 154.38,-7.18%,18.98%,46.24,0.64,5.21M,"1,760,070",1.52%,0.22%,-4.08%,-1.51%,20.14%,2.36%,0.56,2.36,1.26% 1.60%,143.18,143.30,0.08%
TPR,S&P 500,10.04B,836.70M,6.59B,9.67,3.63,1.20,2.78%,12600,Yes,Yes,2.10,12.85,10.18,1.05,1.52,4.46,11.87,40.93,1.10,1.90,0.72,0.71,-3.47%,3.36,4.24,0.60,21.40%,13.44%,12.25%,8.70%,8.30%,-5.40%,18.20%,Feb 09 BMO,-1.57%,0.50%,-0.31%,96.70%,3.66%,11.60%,35.60%,23.40%,69.30%,16.50%,12.70%,32.20%,17.91%,239.30M,233.64M,4.40% / 3.04,10.27M,50.91,26.39 - 47.48,-10.95%,60.21%,42.81,0.59,3.38M,"1,055,910",-3.62%,-6.52%,13.38%,22.62%,30.37%,11.03%,1.48,1.13,2.38% 2.44%,43.13,42.28,-1.97%
TRMB,S&P 500,12.20B,449.70M,3.68B,16.39,1.14,-,-,11825,Yes,Yes,2.20,28.45,17.48,2.85,3.32,3.12,45.01,35.05,0.80,1.00,0.38,0.30,-5.38%,1.80,2.92,0.67,-7.20%,5.52%,10.00%,64.60%,6.80%,-7.50%,-24.00%,Feb 08 BMO,-6.20%,0.20%,-1.34%,95.70%,-0.86%,6.30%,11.40%,8.80%,57.30%,16.80%,12.20%,0.00%,-13.68%,247.10M,245.71M,0.94% / 1.79,2.30M,64.79,47.52 - 74.87,-32.01%,7.11%,36.95,0.76,1.28M,"511,538",-2.55%,-14.64%,-13.05%,-18.29%,-21.00%,0.67%,1.57,1.45,2.36% 2.57%,51.10,50.90,-0.39%
TROW,S&P 500,24.76B,1.52B,6.49B,39.48,7.99,4.88,4.33%,7868,Yes,Yes,3.50,16.85,15.43,-,3.82,2.85,14.10,24.41,-,-,0.00,0.00,-1.49%,6.69,7.30,1.63,-48.90%,6.87%,-,1.40%,6.00%,-22.30%,-63.60%,Jan 26 BMO,-1.98%,0.80%,-2.75%,79.40%,1.59%,12.70%,17.00%,21.20%,-,36.60%,23.50%,53.60%,-2.70%,223.90M,219.11M,8.78% / 11.29,19.24M,94.82,93.53 - 157.77,-28.09%,21.31%,47.04,0.81,1.70M,"728,428",2.07%,-8.37%,-6.49%,-6.44%,-15.88%,4.03%,1.32,3.38,2.30% 2.62%,112.65,113.46,0.72%
TRV,"DJIA, S&P 500",41.17B,2.82B,36.92B,92.49,3.45,3.72,2.09%,32500,Yes,Yes,2.70,15.12,10.60,1.71,1.12,1.92,51.53,7.36,-,-,0.34,0.33,-4.40%,11.76,16.77,3.67,-18.80%,16.89%,8.83%,8.60%,5.00%,7.00%,-35.90%,Jan 24 BMO,-5.59%,0.20%,-43.48%,85.10%,-0.71%,2.40%,12.60%,11.10%,-,10.10%,7.60%,30.40%,1.09%,233.10M,230.20M,1.32% / 2.33,3.04M,199.81,149.65 - 194.51,-9.31%,17.88%,30.97,0.54,1.30M,"371,713",-3.71%,-6.67%,-6.42%,7.55%,4.72%,-5.91%,0.63,3.28,1.75% 1.66%,177.77,176.40,-0.77%
TSCO,S&P 500,24.96B,1.09B,14.20B,18.51,1.85,4.12,1.80%,24000,Yes,Yes,2.10,23.52,19.65,2.33,1.76,12.34,123.27,143.46,0.20,1.30,0.59,0.59,-0.94%,9.71,11.62,1.72,12.80%,10.27%,10.11%,23.80%,14.40%,20.70%,26.30%,Jan 26 BMO,1.95%,0.10%,-42.48%,88.70%,2.10%,13.60%,56.60%,34.50%,35.00%,10.10%,7.70%,37.60%,11.37%,110.36M,109.81M,3.45% / 3.67,3.79M,246.60,166.49 - 241.54,-4.51%,38.54%,51.49,0.55,1.03M,"297,774",0.95%,-0.89%,6.23%,17.52%,5.18%,2.53%,0.82,4.41,1.58% 1.62%,228.45,230.65,0.96%
